Order_ID,Order_Date,Year,Month,Quarter,Region,State,Customer_Segment,Category,Product_Name,Quantity,Unit_Price,Unit_Cost,Discount,Sales,Cost,Profit,Profit_Margin
ORD-00001,2024-10-16,2024,10,Q4,North,Delhi,Corporate,Clothing,Running Shoes,2,76.5,36.37,0.1,153.0,72.74,80.26,52.46
ORD-00002,2023-03-31,2023,3,Q1,Central,Uttarakhand,Consumer,Electronics,Wireless Headphones,9,225.0,120.73,0.1,2025.0,1086.57,938.43,46.34
ORD-00003,2024-10-27,2024,10,Q4,Central,Uttarakhand,Consumer,Food & Beverages,Organic Coffee,3,16.2,5.9,0.1,48.6,17.7,30.9,63.58
ORD-00004,2023-06-09,2023,6,Q2,South,Kerala,Consumer,Clothing,Casual T-Shirt,6,22.5,8.25,0.1,135.0,49.5,85.5,63.33
ORD-00005,2024-04-15,2024,4,Q2,Central,Uttar Pradesh,Home Office,Clothing,Formal Suit,5,224.0,131.54,0.2,1120.0,657.7,462.3,41.28
ORD-00006,2024-01-06,2024,1,Q1,Central,Chhattisgarh,Corporate,Electronics,Wireless Headphones,5,175.0,124.26,0.3,875.0,621.3,253.7,28.99
ORD-00007,2023-04-14,2023,4,Q2,West,Rajasthan,Consumer,Books,Business Strategy,6,38.0,12.2,0.0,228.0,73.2,154.8,67.89
ORD-00008,2024-12-19,2024,12,Q4,North,Uttarakhand,Corporate,Food & Beverages,Protein Powder,3,42.75,17.59,0.05,128.25,52.77,75.48,58.85
ORD-00009,2024-10-17,2024,10,Q4,Central,Chhattisgarh,Corporate,Books,Data Science Handbook,4,36.0,15.46,0.2,144.0,61.84,82.16,57.06
ORD-00010,2024-02-15,2024,2,Q1,East,West Bengal,Consumer,Beauty,Hair Care Kit,4,49.5,19.79,0.1,198.0,79.16,118.84,60.02
ORD-00011,2024-10-20,2024,10,Q4,West,Gujarat,Consumer,Clothing,Formal Suit,9,280.0,131.1,0.0,2520.0,1179.9,1340.1,53.18
ORD-00012,2024-08-20,2024,8,Q3,West,Rajasthan,Consumer,Beauty,Anti-Aging Cream,8,95.0,36.28,0.0,760.0,290.24,469.76,61.81
ORD-00013,2023-04-23,2023,4,Q2,South,Karnataka,Corporate,Furniture,Office Chair,7,320.0,157.44,0.0,2240.0,1102.08,1137.92,50.8
ORD-00014,2024-06-25,2024,6,Q2,East,Assam,Home Office,Electronics,"Laptop Pro 15""",9,1020.0,821.49,0.15,9180.0,7393.41,1786.59,19.46
ORD-00015,2023-12-15,2023,12,Q4,North,Haryana,Consumer,Furniture,Bookshelf,9,153.0,75.06,0.15,1377.0,675.54,701.46,50.94
ORD-00016,2023-04-19,2023,4,Q2,East,Assam,Corporate,Electronics,Wireless Headphones,9,187.5,125.07,0.25,1687.5,1125.63,561.87,33.3
ORD-00017,2023-01-01,2023,1,Q1,Central,Madhya Pradesh,Consumer,Electronics,Smartphone X,5,900.0,535.75,0.0,4500.0,2678.75,1821.25,40.47
